-----------------------------------------------------------
Server listening on 5201
-----------------------------------------------------------
Accepted connection from 192.168.30.111, port 55254
[  5] local 192.168.30.190 port 5201 connected to 192.168.30.111 port 38557
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
[  5]  22.00-22.10  sec  5.75 KBytes   471 Kbits/sec  0.664 ms  0/4 (0%)  
[  5]  22.10-22.20  sec  4.31 KBytes   353 Kbits/sec  0.635 ms  0/3 (0%)  
[  5]  22.20-22.30  sec  5.75 KBytes   471 Kbits/sec  0.856 ms  0/4 (0%)  
[  5]  22.30-22.40  sec  4.31 KBytes   353 Kbits/sec  1.026 ms  0/3 (0%)  
[  5]  22.40-22.50  sec  4.31 KBytes   353 Kbits/sec  0.934 ms  0/3 (0%)  
[  5]  22.50-22.60  sec  5.75 KBytes   471 Kbits/sec  0.823 ms  0/4 (0%)  
[  5]  22.60-22.70  sec  4.31 KBytes   353 Kbits/sec  1.047 ms  0/3 (0%)  
[  5]  22.70-22.80  sec  5.75 KBytes   471 Kbits/sec  1.309 ms  0/4 (0%)  
[  5]  22.80-22.90  sec  4.31 KBytes   353 Kbits/sec  1.208 ms  0/3 (0%)  
[  5]  22.90-23.00  sec  4.31 KBytes   353 Kbits/sec  1.069 ms  0/3 (0%)  
[  5]  23.00-23.10  sec  5.75 KBytes   471 Kbits/sec  1.041 ms  0/4 (0%)  
[  5]  23.10-23.20  sec  4.31 KBytes   353 Kbits/sec  1.021 ms  0/3 (0%)  
[  5]  23.20-23.30  sec  5.75 KBytes   471 Kbits/sec  0.918 ms  0/4 (0%)  
[  5]  23.30-23.40  sec  4.31 KBytes   353 Kbits/sec  0.940 ms  0/3 (0%)  
[  5]  23.40-23.50  sec  4.31 KBytes   353 Kbits/sec  0.835 ms  0/3 (0%)  
[  5]  23.50-23.60  sec  5.75 KBytes   471 Kbits/sec  0.755 ms  0/4 (0%)  
[  5]  23.60-23.70  sec  4.31 KBytes   353 Kbits/sec  0.789 ms  0/3 (0%)  
[  5]  23.70-23.80  sec  5.75 KBytes   471 Kbits/sec  0.721 ms  0/4 (0%)  
[  5]  23.80-23.90  sec  4.31 KBytes   353 Kbits/sec  0.656 ms  0/3 (0%)  
[  5]  23.90-24.00  sec  4.31 KBytes   353 Kbits/sec  0.673 ms  0/3 (0%)  
[  5]  24.00-24.10  sec  5.75 KBytes   471 Kbits/sec  0.631 ms  0/4 (0%)  
[  5]  24.10-24.20  sec  4.31 KBytes   353 Kbits/sec  0.661 ms  0/3 (0%)  
[  5]  24.20-24.30  sec  5.75 KBytes   471 Kbits/sec  0.628 ms  0/4 (0%)  
[  5]  24.30-24.40  sec  4.31 KBytes   353 Kbits/sec  0.637 ms  0/3 (0%)  
[  5]  24.40-24.50  sec  4.31 KBytes   353 Kbits/sec  0.639 ms  0/3 (0%)  
[  5]  24.50-24.60  sec  5.75 KBytes   471 Kbits/sec  0.616 ms  0/4 (0%)  
[  5]  24.60-24.70  sec  4.31 KBytes   353 Kbits/sec  0.636 ms  0/3 (0%)  
[  5]  24.70-24.80  sec  5.75 KBytes   471 Kbits/sec  0.653 ms  0/4 (0%)  
[  5]  24.80-24.90  sec  4.31 KBytes   353 Kbits/sec  0.684 ms  0/3 (0%)  
[  5]  24.90-25.00  sec  4.31 KBytes   353 Kbits/sec  0.652 ms  0/3 (0%)  
[  5]  25.00-25.10  sec  5.75 KBytes   471 Kbits/sec  0.577 ms  0/4 (0%)  
[  5]  25.10-25.20  sec  4.31 KBytes   353 Kbits/sec  0.574 ms  0/3 (0%)  
[  5]  25.20-25.30  sec  4.31 KBytes   353 Kbits/sec  0.645 ms  0/3 (0%)  
[  5]  25.30-25.40  sec  5.75 KBytes   471 Kbits/sec  0.634 ms  0/4 (0%)  
[  5]  25.40-25.50  sec  4.31 KBytes   353 Kbits/sec  0.638 ms  0/3 (0%)  
[  5]  25.50-25.60  sec  5.75 KBytes   471 Kbits/sec  0.727 ms  0/4 (0%)  
